Player,standard | Nation,standard | Pos,standard | Squad,standard | Age,standard | Born,standard_Playing Time | MP,standard_Playing Time | Starts,standard_Playing Time | Min,standard_Performance | Gls,standard_Performance | Ast,standard_Performance | CrdY,standard_Performance | CrdR,standard_Expected | xG,standard_Expected | xAG,standard_Progression | PrgC,standard_Progression | PrgP,standard_Progression | PrgR,standard_Per 90 Minutes | Gls,standard_Per 90 Minutes | Ast,standard_Per 90 Minutes | xG,standard_Per 90 Minutes | xAG,keepers_Performance | GA90,keepers_Performance | Save%,keepers_Performance | CS%,keepers_Penalty Kicks | Save%,shooting_Standard | SoT%,shooting_Standard | SoT/90,shooting_Standard | G/Sh,shooting_Standard | Dist,passing_Total | Cmp,passing_Total | Cmp%,passing_Total | TotDist,passing_Short | Cmp%,passing_Medium | Cmp%,passing_Long | Cmp%,passing | KP,passing | 1/3,passing | PPA,passing | CrsPA,passing | PrgP,gca_SCA | SCA,gca_SCA | SCA90,gca_GCA | GCA,gca_GCA | GCA90,defense_Tackles | Tkl,defense_Tackles | TklW,defense_Challenges | Att,defense_Challenges | Lost,defense_Blocks | Blocks,defense_Blocks | Sh,defense_Blocks | Pass,defense | Int,possession_Touches | Touches,possession_Touches | Def Pen,possession_Touches | Def 3rd,possession_Touches | Mid 3rd,possession_Touches | Att 3rd,possession_Touches | Att Pen,possession_Take-Ons | Att,possession_Take-Ons | Succ%,possession_Take-Ons | Tkld%,possession_Carries | Carries,possession_Carries | PrgDist,possession_Carries | PrgC,possession_Carries | 1/3,possession_Carries | CPA,possession_Carries | Mis,possession_Carries | Dis,possession_Receiving | Rec,possession_Receiving | PrgR,misc_Performance | Fls,misc_Performance | Fld,misc_Performance | Off,misc_Performance | Crs,misc_Performance | Recov,misc_Aerial Duels | Won,misc_Aerial Duels | Lost,misc_Aerial Duels | Won%
Diego Carlos,br BRA,DF,Aston Villa,32.0,1993.0,10.0,8.0,830.0,0.0,0.0,1.0,0.0,0.6,0.0,3.0,34.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,25.0,0.11,0.0,6.7,534.0,88.6,10941.0,91.4,94.2,65.1,0.0,23.0,1.0,0.0,34.0,4.0,0.43,0.0,0.0,8.0,3.0,6.0,2.0,13.0,7.0,6.0,5.0,674.0,86.0,331.0,330.0,15.0,6.0,2.0,100.0,0.0,419.0,1162.0,3.0,3.0,0.0,1.0,2.0,481.0,0.0,11.0,1.0,1.0,0.0,36.0,11.0,10.0,52.4
Diego Gómez,py PAR,MF,Brighton,22.0,2003.0,12.0,4.0,440.0,0.0,0.0,0.0,0.0,0.4,0.5,5.0,20.0,14.0,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,206.0,79.8,3195.0,85.8,84.1,52.2,5.0,12.0,5.0,1.0,20.0,14.0,2.86,3.0,0.61,17.0,10.0,18.0,9.0,11.0,0.0,11.0,7.0,342.0,18.0,79.0,184.0,83.0,5.0,12.0,50.0,50.0,161.0,254.0,5.0,3.0,0.0,6.0,9.0,203.0,14.0,7.0,2.0,1.0,9.0,30.0,7.0,3.0,70.0
Diogo Dalot,pt POR,DF,Manchester Utd,26.0,1999.0,32.0,31.0,2788.0,0.0,3.0,5.0,0.0,2.0,2.0,62.0,102.0,164.0,0.0,0.1,0.06,0.07,0.0,0.0,0.0,0.0,21.7,0.16,0.0,15.6,1336.0,80.5,21497.0,89.9,81.9,55.4,26.0,61.0,25.0,8.0,102.0,74.0,2.39,5.0,0.16,67.0,39.0,52.0,18.0,22.0,9.0,13.0,37.0,1965.0,113.0,658.0,767.0,557.0,66.0,53.0,50.9,41.5,1111.0,2684.0,62.0,37.0,16.0,37.0,21.0,1186.0,164.0,40.0,9.0,4.0,65.0,164.0,38.0,21.0,64.4
Diogo Jota,pt POR,FW,Liverpool,28.0,1996.0,23.0,13.0,1097.0,6.0,3.0,2.0,0.0,7.3,1.8,36.0,33.0,86.0,0.49,0.25,0.6,0.15,0.0,0.0,0.0,0.0,28.3,1.07,0.13,12.5,201.0,69.6,3050.0,76.1,74.2,61.9,11.0,29.0,3.0,1.0,33.0,35.0,2.87,9.0,0.74,14.0,8.0,19.0,12.0,9.0,0.0,9.0,7.0,448.0,5.0,30.0,185.0,240.0,90.0,30.0,36.7,60.0,247.0,753.0,36.0,21.0,20.0,36.0,21.0,311.0,86.0,18.0,12.0,1.0,8.0,40.0,21.0,30.0,41.2
Djed Spence,eng ENG,DF,Tottenham,24.0,2000.0,21.0,16.0,1514.0,1.0,2.0,4.0,1.0,0.6,1.7,53.0,98.0,68.0,0.06,0.12,0.03,0.1,0.0,0.0,0.0,0.0,30.0,0.18,0.1,23.9,875.0,86.0,12585.0,93.6,86.8,54.4,10.0,73.0,17.0,7.0,98.0,26.0,1.55,5.0,0.3,39.0,30.0,25.0,6.0,22.0,9.0,13.0,17.0,1234.0,67.0,415.0,562.0,277.0,24.0,69.0,49.3,40.6,709.0,2295.0,53.0,40.0,7.0,25.0,27.0,776.0,68.0,19.0,23.0,2.0,23.0,91.0,17.0,12.0,58.6
Dominic Calvert-Lewin,eng ENG,FW,Everton,28.0,1997.0,22.0,19.0,1574.0,3.0,1.0,2.0,0.0,6.1,0.6,22.0,19.0,105.0,0.17,0.06,0.35,0.04,0.0,0.0,0.0,0.0,37.0,0.97,0.07,12.3,174.0,62.6,2035.0,70.0,58.3,37.5,7.0,19.0,5.0,1.0,19.0,25.0,1.43,4.0,0.23,9.0,7.0,6.0,4.0,6.0,2.0,4.0,6.0,491.0,21.0,38.0,204.0,254.0,82.0,25.0,40.0,52.0,268.0,444.0,22.0,8.0,16.0,71.0,32.0,402.0,105.0,27.0,22.0,27.0,6.0,32.0,83.0,79.0,51.2
Dominic Solanke,eng ENG,FW,Tottenham,27.0,1997.0,25.0,24.0,2119.0,8.0,3.0,0.0,0.0,10.1,2.9,29.0,45.0,88.0,0.34,0.13,0.43,0.13,0.0,0.0,0.0,0.0,40.7,1.02,0.14,12.1,250.0,71.0,3344.0,76.1,77.1,66.7,14.0,27.0,9.0,0.0,45.0,37.0,1.57,8.0,0.34,18.0,11.0,14.0,10.0,18.0,7.0,11.0,0.0,636.0,31.0,68.0,290.0,284.0,111.0,50.0,32.0,62.0,374.0,803.0,29.0,21.0,14.0,67.0,47.0,448.0,88.0,36.0,36.0,5.0,4.0,37.0,44.0,59.0,42.7
Dominik Szoboszlai,hu HUN,MF,Liverpool,24.0,2000.0,32.0,26.0,2257.0,5.0,5.0,6.0,0.0,7.1,6.2,65.0,114.0,120.0,0.2,0.2,0.28,0.25,0.0,0.0,0.0,0.0,32.3,0.8,0.08,18.5,1015.0,84.5,15678.0,89.2,88.1,71.9,51.0,78.0,31.0,5.0,114.0,108.0,4.31,14.0,0.56,31.0,20.0,39.0,24.0,35.0,4.0,31.0,9.0,1435.0,23.0,183.0,696.0,574.0,96.0,35.0,54.3,37.1,732.0,2101.0,65.0,46.0,17.0,34.0,21.0,980.0,120.0,37.0,23.0,4.0,34.0,120.0,18.0,22.0,45.0
Donyell Malen,nl NED,FW,Aston Villa,26.0,1999.0,11.0,2.0,273.0,3.0,0.0,0.0,0.0,1.7,0.1,9.0,5.0,23.0,0.99,0.0,0.55,0.02,0.0,0.0,0.0,0.0,66.7,2.64,0.25,16.3,45.0,70.3,580.0,82.9,75.0,50.0,2.0,2.0,1.0,0.0,5.0,4.0,1.31,0.0,0.0,7.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,110.0,2.0,7.0,29.0,80.0,18.0,10.0,30.0,50.0,63.0,251.0,9.0,5.0,5.0,8.0,6.0,71.0,23.0,1.0,4.0,2.0,7.0,8.0,3.0,4.0,42.9
Dwight McNeil,eng ENG,"MF,FW",Everton,25.0,1999.0,17.0,13.0,1185.0,3.0,4.0,1.0,0.0,1.1,3.8,32.0,61.0,68.0,0.23,0.3,0.08,0.29,0.0,0.0,0.0,0.0,37.5,0.68,0.13,21.6,390.0,73.0,7325.0,86.2,81.1,52.9,33.0,35.0,33.0,10.0,61.0,62.0,4.71,7.0,0.53,11.0,6.0,19.0,11.0,7.0,0.0,7.0,5.0,645.0,3.0,65.0,280.0,315.0,22.0,38.0,55.3,42.1,374.0,970.0,32.0,29.0,4.0,22.0,28.0,435.0,68.0,6.0,14.0,1.0,92.0,65.0,3.0,14.0,17.6
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26.0,1998.0,30.0,28.0,2337.0,4.0,8.0,1.0,0.0,8.2,5.2,65.0,85.0,141.0,0.15,0.31,0.31,0.2,0.0,0.0,0.0,0.0,25.8,0.92,0.04,21.5,707.0,74.6,11848.0,85.3,83.4,43.2,53.0,46.0,32.0,3.0,85.0,119.0,4.58,9.0,0.35,37.0,22.0,35.0,18.0,26.0,0.0,26.0,11.0,1289.0,15.0,172.0,611.0,537.0,86.0,125.0,48.8,45.6,771.0,2178.0,65.0,43.0,21.0,52.0,44.0,840.0,141.0,11.0,46.0,9.0,100.0,128.0,6.0,36.0,14.3
Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25.0,1999.0,25.0,8.0,880.0,1.0,1.0,5.0,1.0,4.3,1.5,37.0,17.0,65.0,0.1,0.1,0.44,0.15,0.0,0.0,0.0,0.0,33.3,1.23,0.03,14.4,165.0,75.0,2479.0,79.5,83.3,70.6,11.0,11.0,4.0,0.0,17.0,26.0,2.66,2.0,0.2,12.0,5.0,11.0,6.0,10.0,1.0,9.0,2.0,360.0,10.0,39.0,150.0,178.0,59.0,19.0,52.6,31.6,211.0,807.0,37.0,22.0,13.0,30.0,15.0,256.0,65.0,25.0,23.0,3.0,5.0,21.0,18.0,31.0,36.7
Ederson,br BRA,GK,Manchester City,31.0,1993.0,22.0,22.0,1960.0,0.0,4.0,3.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,0.0,0.0,0.0,0.0,693.0,88.1,17056.0,100.0,98.3,65.7,4.0,20.0,1.0,0.0,1.0,6.0,0.28,4.0,0.18,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,833.0,587.0,824.0,9.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,563.0,1671.0,0.0,0.0,0.0,1.0,0.0,529.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,1.0,80.0
Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23.0,2001.0,8.0,0.0,119.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,13.0,4.0,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,76.0,90.5,1259.0,95.0,93.5,85.7,1.0,2.0,0.0,0.0,13.0,4.0,3.03,1.0,0.76,2.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,101.0,2.0,18.0,58.0,27.0,4.0,4.0,75.0,25.0,68.0,221.0,4.0,3.0,1.0,2.0,0.0,75.0,4.0,2.0,4.0,0.0,3.0,7.0,1.0,3.0,25.0
Edson Álvarez,mx MEX,MF,West Ham,27.0,1997.0,25.0,19.0,1633.0,0.0,1.0,8.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,0.0,0.0,0.0,0.0,9.1,0.06,0.0,26.7,763.0,85.7,12894.0,88.8,89.7,73.5,11.0,80.0,11.0,3.0,75.0,25.0,1.38,2.0,0.11,44.0,23.0,33.0,18.0,21.0,8.0,13.0,16.0,1101.0,61.0,323.0,612.0,174.0,12.0,31.0,45.2,38.7,603.0,1528.0,21.0,20.0,2.0,25.0,13.0,734.0,18.0,37.0,18.0,4.0,6.0,78.0,28.0,20.0,58.3
Elliot Anderson,eng ENG,MF,Nott'ham Forest,22.0,2002.0,32.0,28.0,2317.0,2.0,6.0,6.0,0.0,1.7,3.1,37.0,115.0,78.0,0.08,0.23,0.06,0.12,0.0,0.0,0.0,0.0,17.6,0.23,0.06,19.9,863.0,77.8,13736.0,89.1,80.1,47.0,34.0,90.0,17.0,2.0,115.0,75.0,2.91,10.0,0.39,78.0,50.0,93.0,51.0,41.0,8.0,33.0,26.0,1480.0,88.0,354.0,694.0,460.0,55.0,68.0,50.0,38.2,740.0,1868.0,37.0,27.0,15.0,52.0,36.0,869.0,78.0,37.0,54.0,4.0,70.0,177.0,42.0,21.0,66.7
Emerson Palmieri,it ITA,DF,West Ham,30.0,1994.0,29.0,25.0,2015.0,2.0,1.0,5.0,0.0,2.0,1.5,44.0,64.0,82.0,0.09,0.04,0.09,0.07,0.0,0.0,0.0,0.0,43.8,0.31,0.13,19.0,827.0,79.9,12096.0,89.8,81.2,42.4,16.0,49.0,13.0,5.0,64.0,41.0,1.83,2.0,0.09,57.0,29.0,44.0,19.0,32.0,8.0,24.0,20.0,1277.0,82.0,412.0,532.0,348.0,27.0,30.0,33.3,56.7,533.0,1666.0,44.0,25.0,8.0,24.0,7.0,713.0,82.0,24.0,13.0,0.0,63.0,84.0,16.0,18.0,47.1
Emi Buendía,ar ARG,"MF,FW",Aston Villa,28.0,1996.0,12.0,0.0,98.0,0.0,0.0,1.0,0.0,0.7,0.0,3.0,7.0,6.0,0.0,0.0,0.6,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,49.0,81.7,624.0,91.7,85.7,20.0,1.0,4.0,1.0,0.0,7.0,3.0,2.76,0.0,0.0,6.0,6.0,5.0,5.0,5.0,1.0,4.0,0.0,82.0,0.0,17.0,35.0,31.0,3.0,2.0,0.0,100.0,53.0,119.0,3.0,5.0,0.0,4.0,3.0,64.0,6.0,4.0,6.0,0.0,0.0,8.0,0.0,2.0,0.0
Emil Krafth,se SWE,DF,Newcastle Utd,30.0,1994.0,9.0,2.0,288.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,7.0,1.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,104.0,80.0,1661.0,81.7,86.8,50.0,1.0,6.0,0.0,0.0,7.0,3.0,0.94,0.0,0.0,4.0,2.0,3.0,1.0,5.0,4.0,1.0,2.0,164.0,30.0,87.0,59.0,19.0,4.0,1.0,0.0,100.0,72.0,133.0,3.0,3.0,0.0,2.0,2.0,85.0,1.0,3.0,1.0,0.0,1.0,17.0,5.0,5.0,50.0
Emile Smith Rowe,eng ENG,MF,Fulham,24.0,2000.0,30.0,23.0,1852.0,6.0,2.0,2.0,0.0,4.4,1.1,50.0,120.0,113.0,0.29,0.1,0.21,0.05,0.0,0.0,0.0,0.0,29.4,0.49,0.18,15.4,834.0,90.0,11939.0,92.0,95.4,69.2,18.0,74.0,15.0,1.0,120.0,65.0,3.16,11.0,0.53,30.0,17.0,24.0,16.0,20.0,2.0,18.0,11.0,1112.0,20.0,153.0,525.0,444.0,55.0,33.0,48.5,45.5,721.0,1832.0,50.0,38.0,11.0,32.0,13.0,853.0,113.0,17.0,12.0,4.0,13.0,69.0,6.0,17.0,26.1
Emiliano Martínez,ar ARG,GK,Aston Villa,32.0,1992.0,33.0,33.0,2880.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.02,1.41,65.9,15.2,50.0,0.0,0.0,0.0,0.0,986.0,79.0,25707.0,97.8,98.1,49.9,2.0,21.0,0.0,0.0,3.0,6.0,0.19,1.0,0.03,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1307.0,990.0,1292.0,15.0,0.0,0.0,1.0,100.0,0.0,794.0,2586.0,0.0,0.0,0.0,1.0,0.0,718.0,0.0,1.0,5.0,0.0,0.0,28.0,8.0,1.0,88.9
Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,12.0,12.0,1050.0,0.0,0.0,2.0,0.0,0.3,0.2,3.0,21.0,1.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,16.7,0.09,0.0,31.8,597.0,84.4,12223.0,91.7,92.3,60.0,4.0,23.0,1.0,0.0,21.0,15.0,1.29,2.0,0.17,25.0,17.0,17.0,6.0,15.0,11.0,4.0,9.0,844.0,137.0,473.0,355.0,22.0,5.0,10.0,70.0,20.0,508.0,1085.0,3.0,3.0,0.0,3.0,3.0,549.0,1.0,5.0,4.0,1.0,1.0,63.0,22.0,15.0,59.5
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27.0,1997.0,17.0,2.0,345.0,2.0,1.0,2.0,0.0,2.7,0.4,4.0,12.0,22.0,0.52,0.26,0.72,0.1,0.0,0.0,0.0,0.0,35.0,1.83,0.1,14.6,63.0,63.6,685.0,76.9,60.7,0.0,4.0,4.0,4.0,0.0,12.0,9.0,2.35,3.0,0.78,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,172.0,6.0,14.0,63.0,95.0,26.0,12.0,8.3,83.3,91.0,95.0,4.0,3.0,1.0,17.0,13.0,133.0,22.0,6.0,9.0,1.0,4.0,16.0,24.0,22.0,52.2
Enzo Fernández,ar ARG,MF,Chelsea,24.0,2001.0,32.0,28.0,2590.0,5.0,7.0,7.0,0.0,5.4,6.3,57.0,196.0,115.0,0.17,0.24,0.19,0.22,0.0,0.0,0.0,0.0,36.7,0.63,0.1,18.6,1397.0,80.0,24772.0,88.8,84.9,58.4,71.0,155.0,39.0,7.0,196.0,137.0,4.76,16.0,0.56,61.0,30.0,78.0,49.0,32.0,5.0,27.0,11.0,2021.0,32.0,309.0,1027.0,698.0,73.0,46.0,45.7,39.1,1115.0,2529.0,57.0,53.0,8.0,27.0,27.0,1487.0,115.0,45.0,47.0,1.0,103.0,141.0,13.0,27.0,32.5
Erling Haaland,no NOR,FW,Manchester City,24.0,2000.0,28.0,28.0,2480.0,21.0,3.0,2.0,0.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,0.0,0.0,0.0,0.0,54.5,1.96,0.19,12.2,225.0,66.0,2706.0,70.6,66.7,66.7,26.0,9.0,7.0,1.0,18.0,62.0,2.25,9.0,0.33,9.0,5.0,6.0,4.0,11.0,1.0,10.0,5.0,578.0,22.0,39.0,200.0,344.0,170.0,32.0,34.4,59.4,272.0,478.0,19.0,14.0,19.0,39.0,25.0,427.0,103.0,22.0,12.0,4.0,3.0,29.0,49.0,45.0,52.1
Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18.0,2007.0,24.0,10.0,816.0,4.0,2.0,1.0,0.0,1.1,1.0,44.0,30.0,101.0,0.44,0.22,0.12,0.11,0.0,0.0,0.0,0.0,36.4,0.88,0.18,18.2,304.0,80.2,4385.0,92.3,76.6,51.4,12.0,16.0,13.0,6.0,30.0,22.0,2.42,3.0,0.33,11.0,7.0,18.0,11.0,8.0,2.0,6.0,2.0,491.0,3.0,43.0,159.0,294.0,39.0,55.0,58.2,30.9,330.0,1233.0,44.0,21.0,16.0,20.0,17.0,358.0,101.0,7.0,5.0,6.0,51.0,33.0,3.0,7.0,30.0
Ethan Pinnock,jm JAM,DF,Brentford,31.0,1993.0,22.0,21.0,1913.0,2.0,0.0,2.0,0.0,1.1,1.2,3.0,41.0,9.0,0.09,0.0,0.05,0.05,0.0,0.0,0.0,0.0,60.0,0.28,0.2,11.1,924.0,85.6,17045.0,94.2,89.4,57.9,8.0,48.0,4.0,1.0,41.0,21.0,0.99,0.0,0.0,35.0,19.0,24.0,11.0,29.0,18.0,11.0,24.0,1348.0,294.0,783.0,457.0,109.0,24.0,9.0,33.3,66.7,633.0,1633.0,3.0,4.0,0.0,2.0,4.0,760.0,9.0,8.0,4.0,0.0,9.0,50.0,63.0,43.0,59.4
Evan Ferguson,ie IRL,FW,West Ham,20.0,2004.0,7.0,1.0,145.0,0.0,0.0,0.0,0.0,0.6,0.3,1.0,0.0,6.0,0.0,0.0,0.35,0.19,0.0,0.0,0.0,0.0,20.0,0.62,0.0,17.2,26.0,78.8,317.0,83.3,71.4,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.48,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,62.0,1.0,6.0,27.0,29.0,10.0,5.0,60.0,40.0,31.0,41.0,1.0,1.0,1.0,8.0,5.0,40.0,6.0,1.0,2.0,0.0,0.0,8.0,5.0,8.0,38.5
Evanilson,br BRA,FW,Bournemouth,25.0,1999.0,27.0,24.0,1972.0,9.0,1.0,0.0,1.0,11.0,1.6,26.0,19.0,87.0,0.41,0.05,0.5,0.07,0.0,0.0,0.0,0.0,45.2,1.28,0.15,12.9,201.0,69.1,2409.0,74.6,70.7,64.3,23.0,14.0,2.0,0.0,19.0,56.0,2.56,8.0,0.37,14.0,9.0,10.0,4.0,10.0,2.0,8.0,0.0,479.0,22.0,49.0,183.0,250.0,113.0,19.0,31.6,36.8,279.0,734.0,26.0,15.0,14.0,31.0,22.0,337.0,87.0,31.0,43.0,17.0,0.0,56.0,38.0,56.0,40.4
Ezri Konsa,eng ENG,DF,Aston Villa,27.0,1997.0,30.0,29.0,2576.0,1.0,0.0,0.0,0.0,0.9,0.4,16.0,73.0,11.0,0.03,0.0,0.03,0.01,0.0,0.0,0.0,0.0,33.3,0.1,0.11,9.1,1372.0,92.7,22993.0,96.3,95.7,65.0,5.0,93.0,1.0,0.0,73.0,23.0,0.8,3.0,0.1,32.0,17.0,22.0,4.0,17.0,9.0,8.0,21.0,1693.0,213.0,795.0,807.0,99.0,20.0,17.0,41.2,41.2,986.0,2465.0,16.0,11.0,2.0,16.0,9.0,1177.0,11.0,6.0,42.0,0.0,5.0,86.0,27.0,21.0,56.3
Fabian Schär,ch SUI,DF,Newcastle Utd,33.0,1991.0,30.0,29.0,2575.0,4.0,0.0,7.0,1.0,2.1,0.4,14.0,95.0,17.0,0.14,0.0,0.07,0.01,0.0,0.0,0.0,0.0,34.5,0.35,0.14,21.8,1458.0,83.6,29169.0,92.5,92.7,51.4,5.0,139.0,10.0,0.0,95.0,27.0,0.94,3.0,0.1,32.0,19.0,34.0,20.0,36.0,24.0,12.0,40.0,2034.0,237.0,1061.0,857.0,127.0,31.0,12.0,66.7,16.7,1284.0,3313.0,14.0,23.0,2.0,11.0,6.0,1417.0,17.0,31.0,12.0,4.0,9.0,123.0,40.0,61.0,39.6
Fabio Carvalho,pt POR,"FW,MF",Brentford,22.0,2002.0,19.0,3.0,455.0,2.0,1.0,1.0,0.0,2.5,0.7,9.0,17.0,23.0,0.4,0.2,0.49,0.13,0.0,0.0,0.0,0.0,41.7,0.99,0.17,14.7,126.0,70.8,1755.0,83.0,71.1,38.9,4.0,11.0,5.0,1.0,17.0,10.0,1.97,1.0,0.2,13.0,9.0,13.0,7.0,6.0,1.0,5.0,3.0,247.0,4.0,44.0,91.0,113.0,22.0,14.0,14.3,71.4,137.0,356.0,9.0,3.0,0.0,13.0,8.0,145.0,23.0,5.0,10.0,1.0,10.0,30.0,2.0,6.0,25.0
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20.0,2004.0,29.0,14.0,1474.0,4.0,2.0,7.0,0.0,3.8,3.1,38.0,52.0,69.0,0.24,0.12,0.23,0.19,0.0,0.0,0.0,0.0,29.4,0.61,0.12,17.8,430.0,76.6,6782.0,85.7,81.9,48.6,24.0,40.0,13.0,2.0,52.0,50.0,3.05,4.0,0.24,53.0,32.0,67.0,46.0,32.0,6.0,26.0,11.0,850.0,26.0,127.0,436.0,300.0,36.0,79.0,32.9,62.0,465.0,1321.0,38.0,26.0,8.0,53.0,39.0,515.0,69.0,35.0,33.0,3.0,41.0,77.0,17.0,35.0,32.7
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25.0,1999.0,6.0,5.0,385.0,1.0,0.0,1.0,0.0,0.4,0.2,1.0,15.0,27.0,0.23,0.0,0.1,0.04,0.0,0.0,0.0,0.0,25.0,0.23,0.25,15.1,144.0,82.3,2372.0,89.0,82.4,64.3,5.0,10.0,9.0,4.0,15.0,13.0,3.03,2.0,0.47,10.0,6.0,15.0,9.0,2.0,2.0,0.0,8.0,231.0,13.0,71.0,91.0,72.0,9.0,7.0,42.9,42.9,124.0,183.0,1.0,0.0,0.0,6.0,2.0,144.0,27.0,5.0,3.0,1.0,9.0,14.0,3.0,1.0,75.0
Filip Jørgensen,dk DEN,GK,Chelsea,23.0,2002.0,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,71.4,16.7,0.0,0.0,0.0,0.0,0.0,158.0,83.6,2843.0,100.0,97.5,27.5,0.0,1.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,174.0,201.0,1.0,0.0,0.0,0.0,46.58571428571428,42.44353741496598,145.0,423.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,48.97632135306554
Flynn Downes,eng ENG,MF,Southampton,26.0,1999.0,23.0,21.0,1791.0,1.0,0.0,10.0,0.0,0.6,1.1,24.0,59.0,28.0,0.05,0.0,0.03,0.05,0.0,0.0,0.0,0.0,30.0,0.15,0.1,18.7,851.0,89.8,12498.0,92.6,91.8,67.4,15.0,52.0,11.0,0.0,59.0,30.0,1.51,2.0,0.1,43.0,23.0,32.0,18.0,22.0,6.0,16.0,30.0,1136.0,76.0,343.0,605.0,197.0,20.0,14.0,35.7,50.0,540.0,1551.0,24.0,21.0,4.0,12.0,17.0,805.0,28.0,45.0,33.0,0.0,3.0,73.0,13.0,13.0,50.0
Fraser Forster,eng ENG,GK,Tottenham,37.0,1988.0,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,69.0,14.3,0.0,0.0,0.0,0.0,0.0,168.0,84.8,3349.0,98.2,95.6,48.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,1.0,100.0,0.0,113.0,264.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Gabriel Jesus,br BRA,FW,Arsenal,28.0,1997.0,17.0,6.0,608.0,3.0,0.0,4.0,0.0,3.0,0.7,15.0,19.0,57.0,0.44,0.0,0.44,0.1,0.0,0.0,0.0,0.0,35.0,1.04,0.15,11.1,156.0,76.8,2030.0,80.5,87.2,66.7,8.0,10.0,9.0,1.0,19.0,18.0,2.66,4.0,0.59,10.0,6.0,9.0,5.0,10.0,1.0,9.0,4.0,299.0,9.0,28.0,108.0,165.0,48.0,22.0,40.9,45.5,179.0,432.0,15.0,6.0,11.0,13.0,13.0,217.0,57.0,14.0,10.0,9.0,7.0,28.0,9.0,18.0,33.3
Gabriel Magalhães,br BRA,DF,Arsenal,27.0,1997.0,28.0,28.0,2363.0,3.0,1.0,4.0,0.0,2.6,0.9,10.0,126.0,11.0,0.11,0.04,0.1,0.03,0.0,0.0,0.0,0.0,22.7,0.19,0.14,9.5,1480.0,90.2,25788.0,96.9,94.2,53.9,13.0,145.0,8.0,0.0,126.0,35.0,1.33,6.0,0.23,25.0,15.0,16.0,4.0,42.0,29.0,13.0,16.0,1873.0,189.0,672.0,985.0,225.0,40.0,5.0,80.0,20.0,1116.0,2669.0,10.0,22.0,0.0,9.0,2.0,1366.0,11.0,19.0,19.0,0.0,9.0,63.0,53.0,37.0,58.9
