Skill / pot,Player,Age,Team,ETV
69.0 74.1,"Boubakary Soumaré Boubakary Soumaré Leicester • DM, M (C) DM, M (C)",26,Leicester,€15.4M
64.6 70.5,Armel Bella-Kotchap Armel Bella-Kotchap Southampton • D (C) D (C),23,Southampton,€15.4M
48.7 65.9,Mathis Amougou Mathis Amougou Chelsea • M (C) M (C),19,Chelsea,€15.3M
77.2 77.2,"Thomas Partey Thomas Partey Arsenal • DM, M (C), D (R) DM, M (C), D (R)",31,Arsenal,€15.2M
59.2 73.1,Nasser Djiga Nasser Djiga Wolverhampton • D (C) D (C),22,Wolverhampton,€14.7M
71.7 73.8,"Rico Henry Rico Henry Brentford • D, M (L) D, M (L)",27,Brentford,€14.7M
74.2 74.2,Mathias Jensen Mathias Jensen Brentford • M (C) M (C),29,Brentford,€14.7M
71.5 71.5,"Daichi Kamada Daichi Kamada C. Palace • AM, M (C) AM, M (C)",28,C. Palace,€14.6M
76.0 76.0,"Harry Wilson Harry Wilson Fulham • F, M (R) F, M (R)",28,Fulham,€14.5M
73.7 73.7,"Christian Nørgaard Christian Nørgaard Brentford • DM, M (C) DM, M (C)",31,Brentford,€14.4M
64.3 71.3,Julian Araujo Julian Araujo B'mouth • D (R) D (R),23,B'mouth,€14.3M
61.3 61.3,"Sammie Szmodics Sammie Szmodics Ipswich Town • AM (C), M (L) AM (C), M (L)",29,Ipswich Town,€14.1M
70.7 71.6,Kenny Tete Kenny Tete Fulham • D (R) D (R),29,Fulham,€14M
66.7 73.3,Tommy Doyle Tommy Doyle Wolverhampton • M (C) M (C),23,Wolverhampton,€14M
66.1 70.3,Patson Daka Patson Daka Leicester • F (C) F (C),26,Leicester,€14M
57.6 66.0,"Tim Iroegbunam Tim Iroegbunam Everton • M, DM (C) M, DM (C)",21,Everton,€13.8M
67.6 68.2,Harry Maguire Harry Maguire Man Utd • D (C) D (C),32,Man Utd,€13.7M
74.0 74.0,Bernd Leno Bernd Leno Fulham • GK GK,33,Fulham,€13.7M
71.6 71.6,"Guido Rodríguez Guido Rodríguez West Ham United • DM, M (C) DM, M (C)",31,West Ham United,€13.6M
71.2 71.2,Lucas Digne Lucas Digne Aston Villa • D (L) D (L),31,Aston Villa,€13.6M
70.8 70.8,"Jefferson Lerma Jefferson Lerma C. Palace • DM, M (C) DM, M (C)",30,C. Palace,€13.6M
72.0 72.0,Mark Flekken Mark Flekken Brentford • GK GK,31,Brentford,€13.6M
66.9 70.1,Tariq Lamptey Tariq Lamptey Brighton • D (RL) D (RL),24,Brighton,€13.6M
67.8 67.8,Victor Lindelöf Victor Lindelöf Man Utd • D (C) D (C),30,Man Utd,€13.5M
66.0 66.0,Niclas Füllkrug Niclas Füllkrug West Ham United • F (C) F (C),32,West Ham United,€13.4M
60.3 62.9,Altay Bayındır Altay Bayındır Man Utd • GK GK,27,Man Utd,€13.2M
57.5 69.0,Aaron Anselmino Aaron Anselmino Chelsea • D (C) D (C),20,Chelsea,€13.2M
62.9 75.8,Julio Soler Julio Soler B'mouth • D (L) D (L),20,B'mouth,€13.2M
45.3 64.1,Pedro Lima Pedro Lima Wolverhampton • D (R) D (R),18,Wolverhampton,€13.1M
54.9 67.6,Carlos Forbs Carlos Forbs Wolverhampton • F (RL) F (RL),21,Wolverhampton,€13M
65.9 65.9,"David Brooks David Brooks B'mouth • F, M (R) F, M (R)",27,B'mouth,€13M
63.8 64.6,Jan Bednarek Jan Bednarek Southampton • D (C) D (C),29,Southampton,€12.9M
65.9 75.4,David Datro Fofana David Datro Fofana Chelsea • F (C) F (C),22,Chelsea,€12.9M
66.8 70.1,"Stephy Mavididi Stephy Mavididi Leicester • F, M (L) F, M (L)",26,Leicester,€12.9M
63.1 63.1,Paul Onuachu Paul Onuachu Southampton • F (C) F (C),30,Southampton,€12.7M
66.6 70.6,"Ben Johnson Ben Johnson Ipswich Town • D, M (R) D, M (R)",25,Ipswich Town,€12.6M
67.0 67.0,"Emerson Palmieri Emerson Palmieri West Ham United • D, M (L) D, M (L)",30,West Ham United,€12.6M
67.3 76.1,Yerson Mosquera Yerson Mosquera Wolverhampton • D (CRL) D (CRL),24,Wolverhampton,€12.4M
