Skill / pot,Player,Age,Team,ETV
51.7 54.4,João Virgínia João Virgínia Everton • GK GK,25,Everton,€0.6M
49.8 53.1,Tom McGill Tom McGill Brighton • GK GK,25,Brighton,€0.5M
56.7 56.7,"Massimo Luongo Massimo Luongo Ipswich Town • M, DM (C) M, DM (C)",32,Ipswich Town,€0.5M
49.1 53.1,Alfie Whiteman Alfie Whiteman Tottenham • GK GK,26,Tottenham,€0.5M
47.7 47.8,Remi Matthews Remi Matthews C. Palace • GK GK,31,C. Palace,€0.4M
43.7 44.7,Mark Gillespie Mark Gillespie Newcastle Utd. • GK GK,33,Newcastle Utd.,€0.4M
45.4 45.4,Wayne Hennessey Wayne Hennessey Nottingham • GK GK,38,Nottingham,€0.4M
44.5 44.9,Scott Carson Scott Carson Man City • GK GK,39,Man City,€0.4M
46.8 46.8,Tom Heaton Tom Heaton Man Utd • GK GK,39,Man Utd,€0.4M
43.6 60.6,Ranel Young Ranel Young Liverpool • F (C) F (C),19,Liverpool,€0.2M
32.6 32.6,Rento Takaoka Rento Takaoka Southampton • F (C) F (C),18,Southampton,€0.2M
47.0 57.5,Richard Olise Richard Olise Chelsea • D (R) D (R),20,Chelsea,€90K
